Common Name,Class,Order,Family,Genus,Species,ID notes
Unknown Jumping Spider,Arachnida (Arachnids),Araneae (Spiders),Salticidae (Jumping Spiders),Unknown,Unknown,"Jumping spiders can be identified by their unique eye arrangement, with four large eyes in the front row and four smaller eyes in the back row. They also have eight legs, which are typically short and stout. Most jumping spiders are relatively small, with body lengths ranging from about 1/8 to 3/4 inch (4 to 18 millimeters)."
Unknown Mite,Arachnida (Arachnids),Trombidiformes (Spider Mites),Unknown,Unknown,Unknown,"Mites have bulbous, round, or pill-shaped bodies. Classified as arachnids, mites have eight jointed legs. Their size varies by species, but most mites are usually invisible to the naked eye."
Unknown Tick,Arachnida (Arachnids),Ixodida (Ticks),Ixodidae (Hardbacked Ticks),Unknown,Unknown,"Ticks are small, eight-legged arachnids, typically ranging in size from a poppy seed to a grape. Their bodies can be oval, round, or shield-shaped, and their color can vary from light brown to reddish-black.
Adult ticks have a distinctive hard shield, called a scutum, located on their backs. The presence or absence of a scutum is a key feature in distinguishing between ticks and other arachnids."
European Earwig,Insecta (Insects),Dermaptera (Earwigs),Forficulidae (Common Earwigs),Forficula,auricularia,Earwig with large pincers at rear. Reddish-brown. Nocturnal omnivore that seeks shelter in dark
Unknown Hover Fly,Insecta (Insects),Diptera (Flies),Syrphidae (Hover Flies),Unknown,Unknown,Hover fly unable to be identified from photo. Look for mimicking features
Unknown Gnat,Insecta (Insects),Diptera (Flies),Unknown,Unknown,Unknown,"Adult gnats are very small- typically less than 1/4 of an inch long; they can be yellowish, tan or dark brown in color. Gnats have distinctive long legs and are weak fliers."
Unknown Fly,Insecta (Insects),Diptera (Flies),Unknown,Unknown,Unknown,"Body shape can range from compact gnats to the gangly, mosquito-like look of crane flies. Hair: Some varieties, like shiny bottle flies, appear to have little hair, while fuzzy drain flies have a moth-like look. Eyes: Forward-facing, goggle-shaped eyes are a hallmark of house flies."
Mediterranean Katydid,Insecta (Insects),"Orthoptera (Grasshoppers, Crickets, and Katydids)",Tettigoniidae (Katydids),Phaneroptera,nana,The body and legs of the Mediterranean katydid are marked with dark red dots both in the adult and nymphal stages.
Unknown Cockroach,Insecta (Insects),Blattodea (Cockroaches and Termites),Unknown,Unknown,Unknown,Cockroach unable to be identified from photo. Look for markings
Western Yellowjacket,Insecta (Insects),"Hymenoptera (Ants, Bees, Wasps, and Sawflies)","Vespidae (Hornets, Paper Wasps, Potter Wasps, and Allies)",Vespula,pensylvanica,The western Yellowjacket is 3/8 to 5/8 of an inch long and are hairless. They are yellow and black in color with an abdomen that is blunt on the anterior side.
Mediterranean Mantis,Insecta (Insects),Mantodea (Mantises),Eremiaphilidae (Eremiaphilid Mantises),Iris,oratoria,Long green praying mantis. Adults have forewing eyespots. Ambushes prey like flies and bees.
Common Pill Woodlouse,Malacostraca (Crustaceans),Isopoda (Isopods),Armadillidiidae (Pill Woodlice),Armadillidium,vulgare,Small gray woodlouse that can roll into a ball. Found under logs and leaf litter in moist areas.
Unknown Centipede,Chilopoda (Centipedes),Unknown Centipede Order,Unknown,Unknown,Unknown,"Centipedes have only one pair of legs per body segment, centipedes typically have fewer than 150. Centipedes have a flattened body. Centipedes have long antennae."
Unknown Millipede,Diplopoda (Millipedes),Unknown Millipede Order,Unknown,Unknown,Unknown,"Millipedes have two pairs of legs per body segment. millipedes have a rounded body, millipedes move with a wave-like motion. Millipedes have short antennae. "
Unknown Landhopper,Malacostraca (Crustaceans),Amphipoda (Amphipods),Talitridae (Sandhoppers and Landhoppers),Unknown,Unknown,"Landhoppers, also known as woodhoppers, are amphipod crustaceans that are about 0.5–1.5 cm long. They are shrimp-like in appearance, with elongated, smooth, and shiny bodies that are flattened from side to side.   They have strong rear legs that help them jump when disturbed.   When dead, they turn pink, similar to cooked prawns.  Landhoppers can be found under logs or in leaf litter."
Unknown Crab Spider,Arachnida (Arachnids),Araneae (Spiders),Thomisidae (Crab Spiders),Unknown,Unknown,"Crab spiders can usually be identified by their flat, short, and wide bodies. These spiders get their name from their tendency to walk sideways or backwards with their hind legs held open to grab prey."
South American Toothed Hacklemesh Weaver,Arachnida (Arachnids),Araneae (Spiders),Desidae (Intertidal Spiders),Metaltella,simoni,Small spider with spikes on abdomen. Makes irregular tangled webs low in vegetation.
Australian Tortoise Beetle,Insecta (Insects),Coleoptera (Beetles),Chrysomelidae (Leaf Beetles),Trachymela,sloanei,"The Australian Tortoise Beetle is a hemispherical, flattened beetle with a body length of about 6 to 7 mm. It has a dark brown or black body with mottled orange or yellow spots. The beetle's antennae are short and club-shaped. Its legs are short and thick, and its tarsi are bilobed."
Unknown Silverfish,Insecta (Insects),Zygentoma (Silverfishes),Lepismatidae (Typical Silverfishes),Unknown,Unknown,Silverfish unidentified from photo. Look for two long tail-like appendages
Jumping Bristletail,Insecta (Insects),Archaeognatha (Bristletails),Machilidae (Jumping Bristletails),Pedetontus,saltator,"Jumping bristletails are typically 10 to 20 mm in length. They have a dark brown or black body with silvery or metallic scales. Their head is small and their eyes are compound. Their antennae are long and flexible. Their abdomen is long and slender, and it is arched over the back. The abdomen has three ""tails"" at the tip. These tails are actually sensory organs. Jumping bristletails are wingless, but they can propel themselves into the air using a spring-like mechanism in their abdomen."
Unknown Caterpillar,Insecta (Insects),Lepidoptera (Butterflies and Moths),Unknown,Unknown,Unknown,Caterpillar unidentified from photo. Note host plant
Unknown Rove Beetle,Insecta (Insects),Coleoptera (Beetles),Staphylinidae (Rove Beetles),Unknown,Unknown,"Rove beetles are typically active, fast-moving insects. In flight, they may seem wasplike. Walking around, they often flip up or wiggle their flexible, exposed abdomen, especially when frightened. The bodies of most rove beetles are elongated and almost snakelike, but some species are oval."
Unknown Flower Beetle,Insecta (Insects),Coleoptera (Beetles),Melyridae (Soft-winged Flower Beetles),Unknown,Unknown,"Adult: body may have a soft appearance from the numerous erect hairs; front coxae prominent; antennae insert in front of the head above the mandibles; many species have a fleshy lobe between the tarsal claws, and some have orange eversible sacs along the sides of the abdomen that are sometimes visible "
Unknown Leaf Beetle,Insecta (Insects),Coleoptera (Beetles),Chrysomelidae (Leaf Beetles),Unknown,Unknown,Adult leaf beetles are oblong to oval and have threadlike antennae. The coloration of some leaf beetles blends with the color of leaves. Other species are brightly colored and contrastingly marked so they are easy to observe on foliage.
Unknown Ground Beetle,Insecta (Insects),Coleoptera (Beetles),Carabidae (Ground Beetles),Unknown,Unknown,"Ground beetle unidentified from photo. Ground beetles have a small head with prominent mandibles (jaws). Their antennae are long and slender, and their eyes are usually large and black."
Unknown Ground Spider,Arachnida (Arachnids),Araneae (Spiders),Gnaphosidae (Ground Spiders),Unknown,Unknown,"The Gnaphosidae family of ground spiders often have oval eyes. The posterior median eyes are usually smaller and spaced by more than their diameter. Most members of this family can be identified as such by the presence of prominent, tube-shaped spinnerets."
Unknown Cellar Spider,Arachnida (Arachnids),Araneae (Spiders),Pholcidae (Cellar Spiders),Unknown,Unknown,"For Gnaphosidae vs. Clubionidae, look for an eye arrangement that is much more tightly clustered. "
Woodlouse Spider,Arachnida (Arachnids),Araneae (Spiders),Dysderidae (Woodlouse Hunter Spiders),Dysdera,crocata,"Reddish head area with cream- to gray-colored abdomen mouthparts and fangs protrude directly in front of the head, giving a menacing appearance six eyes"
Banded Garden Spider,Arachnida (Arachnids),Araneae (Spiders),Araneidae (Orbweavers),Argiope,trifasciata,Medium spider with distinct stripes. Builds large circular webs in vegetation.
Yellow Garden Spider,Arachnida (Arachnids),Araneae (Spiders),Araneidae (Orbweavers),Argiope,aurantia,Large yellow and black orbweaver spider. Makes zigzag stabilimentum in web.
Goldenrod Crab Spider,Arachnida (Arachnids),Araneae (Spiders),Thomisidae (Crab Spiders),Misumena,vatia,"Color: Females are typically yellow or white with reddish markings on their abdomen and cephalothorax (head and thorax). Males are more colorful, with dark reddish-brown forelegs and a green-yellow carapace.
Body: They have a flattened body with long, slender legs that they hold out at their sides like a crab.
"
Pacific Coast Tick,Arachnida (Arachnids),Ixodida (Ticks),Ixodidae (Hardbacked Ticks),Dermacentor,occidentalis,"Look for a small, brown tick with whitish-gray markings.
Check for a mottled off-white scutum in females and a more mottled and ""spotty"" appearance in males.
"
Western Black-legged Tick,Arachnida (Arachnids),Ixodida (Ticks),Ixodidae (Hardbacked Ticks),Ixodes,pacificus,"Adult western black-legged ticks have eight legs and are flattened in their unfed state. Unfed females are approximately 1/8 of an inch long, with a dark reddish abdomen and black dorsal plate. While feeding on a host, adult females expand in size to over 3/8 of an inch."
Marbled Cellar Spider,Arachnida (Arachnids),Araneae (Spiders),Pholcidae (Cellar Spiders),Holocnemus,pluchei,Long-legged spider with marbled abdomen. Found in dark corners of cellars and outbuildings.
Johnson's Jumping Spider,Arachnida (Arachnids),Araneae (Spiders),Salticidae (Jumping Spiders),Phidippus,johnsoni,"Males have a solid red abdomen, while females have a black stripe down the middle of their red abdomen."
Bold Jumping Spider,Arachnida (Arachnids),Araneae (Spiders),Salticidae (Jumping Spiders),Phidippus,audax,It is a black and white spider with a distinctive white chevron on its abdomen.
Sierra Dome Spider,Arachnida (Arachnids),Araneae (Spiders),Linyphiidae (Sheetweb and Dwarf Weavers),Neriene,litigiosa,Compact tan spider that builds a dome-shaped web with a retreat.
Bull-headed Sac Spider,Arachnida (Arachnids),Araneae (Spiders),Trachelidae (Trachelid Spiders),Trachelas,pacificus,"Adult females are 7–10 millimeters long, and males are 5–6 millimeters long. The spider's chelicerae and carapace are thick, hard, reddish-brown, and covered with what appear to be tiny punctures. The abdomen is pale yellow to light gray, with a slightly darker dorsal stripe. The spider's legs are reddish-brown."
Bowl-and-doily Spider,Arachnida (Arachnids),Araneae (Spiders),Linyphiidae (Sheetweb and Dwarf Weavers),Frontinella,pyramitela,Spider that builds horizontal web with domed retreat above. Often near lights.
Western Dog Tick,Arachnida (Arachnids),Ixodida (Ticks),Ixodidae (Hardbacked Ticks),Dermacentor,similis,Large reddish-brown tick. Bites humans and pets. Can transmit Rocky Mountain spotted fever.
Night-hunting Woodland Spider,Arachnida (Arachnids),Araneae (Spiders),Cybaeidae (Soft Spiders),Cybaeus,signifer,"The Night-hunting Woodland Spider has a body length of about 6 to 8 mm. It has a brown or black body with long, slender legs. The spider's abdomen is covered in fine hairs, which can be either light or dark brown. The spider has eight eyes, which are arranged in two rows of four."
Unknown Trashline Orbweaver,Arachnida (Arachnids),Araneae (Spiders),Araneidae (Orbweavers),Cyclosa,Unknown,Orbweaver spider unable to be identified from photo. Look for circular web with debris line through center.
Western Honey Bee,Insecta (Insects),"Hymenoptera (Ants, Bees, Wasps, and Sawflies)","Apidae (Honey Bees, Bumble Bees, and Allies)",Apis,mellifera,Brown bee with yellow and black striped abdomen. Lives in large colonies with single queen. Pollinator.
Acmon Blue Butterfly,Insecta (Insects),Lepidoptera (Butterflies and Moths),Lycaenidae (Gossamer-winged Butterflies),Icaricia,acmon,Small blue butterfly with black spots around wing edges. Nectars on flowers.
Spotted Cucumber Beetle,Insecta (Insects),Coleoptera (Beetles),Chrysomelidae (Leaf Beetles),Diabrotica,undecimpunctata,Greenish-yellow beetle with 12 black spots. Feeds on cucurbit crops and can transmit bacterial wilt.
Common Checkered-Skipper Butterfly,Insecta (Insects),Lepidoptera (Butterflies and Moths),Hesperiidae (Skippers),Burnsius,communis,Small orange and brown skipper butterfly. Flies low to the ground in open areas.
Yellow-faced Bumble Bee,Insecta (Insects),"Hymenoptera (Ants, Bees, Wasps, and Sawflies)","Apidae (Honey Bees, Bumble Bees, and Allies)",Bombus,vosnesenskii,"The yellow-faced bumble bee, as the name suggests, has a pale yellow face, a partially yellow thorax (middle body section), and a black body with a small patch of yellow on the lower abdomen."
European Paper Wasp,Insecta (Insects),"Hymenoptera (Ants, Bees, Wasps, and Sawflies)","Vespidae (Hornets, Paper Wasps, Potter Wasps, and Allies)",Polistes,dominula,Yellow and black wasp that builds open-comb nests in sheltered areas. Mildly aggressive.
Unknown Grasshopper,Insecta (Insects),"Orthoptera (Grasshoppers, Crickets, and Katydids)",Acrididae (Short-horned Grasshoppers),Unknown,Unknown,Grasshopper unable to be identified from photo. Look for legs adapted for jumping
Immigrant Pavement Ant,Insecta (Insects),"Hymenoptera (Ants, Bees, Wasps, and Sawflies)",Formicidae (Ants),Tetramorium,immigrans,Small black ants that nest under pavement. Trail along the ground in long lines raiding food sources.
Western Subterranean Termite,Insecta (Insects),Blattodea (Cockroaches and Termites),Rhinotermitidae (Subterranean Termites),Reticulitermes,hesperus,Beige termite that nests underground and tunnels up into wood structures to feed. Causes structural damage.
Maritime Earwig,Insecta (Insects),Dermaptera (Earwigs),Anisolabididae (Bent Right Pincher Earwigs),Anisolabis,maritima,Earwig with curved forceps. Nocturnal feeder on detritus and small insects. Seeks shelter in moist areas.
Ring-legged Earwig,Insecta (Insects),Dermaptera (Earwigs),Anisolabididae (Bent Right Pincher Earwigs),Euborellia,annulipes,Earwig with straight forceps and banded antennae. Nocturnal omnivore that damages crops.
Unknown Bee,Insecta (Insects),"Hymenoptera (Ants, Bees, Wasps, and Sawflies)","Apidae (Honey Bees, Bumble Bees, and Allies)",Unknown,Unknown,Bee unable to be identified from photo. Look for thick hairy bodies
Poison Hemlock Moth,Insecta (Insects),Lepidoptera (Butterflies and Moths),Depressariidae (Flat-bodied Moths),Agonopterix,alstroemeriana,Yellow and black checkered moth. Caterpillar feeds on poison hemlock. Toxic butterflies
Unknown Moth,Insecta (Insects),Lepidoptera (Butterflies and Moths),Unknown,Unknown,Unknown,Moth unable to be identified from photo. Note wing patterns
Unknown Cricket,Insecta (Insects),"Orthoptera (Grasshoppers, Crickets, and Katydids)",Gryllidae (True Crickets),Unknown,Unknown,Cricket not identifiable from photo. Listen for chirping songs to help identify
Anise Swallowtail Butterfly,Insecta (Insects),Lepidoptera (Butterflies and Moths),Papilionidae (Swallowtails and Parnassians),Papilio,zelicaon,Upper surface of hindwing has yellow-orange eyespot near tail with round black center that is not connected to hindwing margin. Anal cell of hindwing is primarily yellow. Wing Span: 2 3/4 - 3 1/2 inches (7 - 9 cm). Caterpillar hosts are parsley and fennel.
Painted Lady Butterfly,Insecta (Insects),Lepidoptera (Butterflies and Moths),Nymphalidae (Brush-footed Butterflies),Vanessa,cardui,"The Painted Lady butterfly is a medium-sized butterfly with a wingspan of 1.5 to 2.5 inches. The upperside of the wings is orange-brown with a black border and white spots. The underside of the wings is mottled brown with four small eyespots near the margins. The Painted Lady butterfly has multiple generations per year. The female butterfly lays her eggs on the leaves of a variety of plants, including thistles, mallows, and nettles. The larvae, which are black with tufts of orange and white setae, hatch after about a week. The larvae feed on the leaves of the host plant for several weeks before they pupate. The pupae are attached to the leaves of the host plant. The adult butterflies emerge from the pupae in a few weeks."
West Coast Lady Butterfly,Insecta (Insects),Lepidoptera (Butterflies and Moths),Nymphalidae (Brush-footed Butterflies),Vanessa,annabella,"The West Coast Lady butterfly has a wingspan of 1.5 to 2.25 inches. The upperside of the wings is orange-brown with a black border and white spots. The underside of the wings is mottled brown with a pale ""arrowhead"" in the cell. The West Coast Lady butterfly has one generation per year. The female butterfly lays her eggs on the leaves of mallow plants. The larvae, which are black with tufts of orange and white setae, hatch after about a week. The larvae feed on the leaves of the host plant for several weeks before they pupate. The pupae are attached to the leaves of the host plant. The adult butterflies emerge from the pupae in the spring and summer."
Oblique Streaktail,Insecta (Insects),Diptera (Flies),Syrphidae (Hover Flies),Allograpta,obliqua,"Adults are 6–7 mm long, with yellow stripes on the thorax, and cross banding on the abdomen; with four longitudinal, yellow stripes or spots on the fourth and fifth tergite. Yellow face lacking a complete median stripe. Eggs are creamy white, elongate oval and about 0.84 mm in length. Full grown larvae are 8–9 mm."
California Sister Butterfly,Insecta (Insects),Lepidoptera (Butterflies and Moths),Nymphalidae (Brush-footed Butterflies),Adelpha,californica,Brown butterfly with orange patches along wing edges and spots on hindwings. Female lays eggs on acacias.
Tripartite Sweat Bee,Insecta (Insects),"Hymenoptera (Ants, Bees, Wasps, and Sawflies)",Halictidae (Sweat Bees),Halictus,tripartitus,"The Tripartite Sweat Bee is a small bee, about 4 to 6 mm long. It has a black and yellow body with a metallic green sheen. The bee's legs are black and its wings are clear. The bee's abdomen is black with a yellow band across the middle."
Western Boxelder Bug,Insecta (Insects),"Hemiptera (True Bugs, Hoppers, Aphids, and Allies)",Rhopalidae (Scentless Plant Bugs),Boisea,rubrolineata,Black and red true bug that feeds on boxelder sap. Large aggregations on trees and structures in fall.
Pallid-winged Grasshopper,Insecta (Insects),"Orthoptera (Grasshoppers, Crickets, and Katydids)",Acrididae (Short-horned Grasshoppers),Trimerotropis,pallidipennis,"Variable, mostly gray or gray-brown. Note dark bands usually present on forewing, yellowish hind tibiae. Hind wings are long and narrow (roughly twice as long as wide), pale yellow, sometimes greenish or bluish at base, with dark band relatively narrow to quite narrow and curving around to or almost to the inner angle, and with a spur that reaches about half way to the base."
Red Admiral Butterfly,Insecta (Insects),Lepidoptera (Butterflies and Moths),Nymphalidae (Brush-footed Butterflies),Vanessa,atalanta,Widespread butterfly with black wings crossed by red-orange bands. Found in gardens nectaring on flowers.
Western Tussock Moth,Insecta (Insects),Lepidoptera (Butterflies and Moths),"Erebidae (Underwing, Tiger, Tussock, and Allied Moths)",Orgyia,vetusta,Hairy caterpillar with tufts of barbed hairs. Feeds on broadleaf trees and shrubs. Adults are pale white moths.
White-lined Sphinx,Insecta (Insects),Lepidoptera (Butterflies and Moths),Sphingidae (Sphinx Moths),Hyles,lineata,Large moth with gray and brown camouflage pattern on wings. Caterpillar has single white and black horn. Feeds on plants like evening primrose.
Oleander Aphid,Insecta (Insects),"Hemiptera (True Bugs, Hoppers, Aphids, and Allies)",Aphididae (Aphids),Aphis,nerii,Small yellow or pink aphid with long legs and cornicles. Sucks sap from plants and produces sticky honeydew. Ant tended.
Genista Broom Moth,Insecta (Insects),Lepidoptera (Butterflies and Moths),Crambidae (Crambid Snout Moths),Uresiphita,reversalis,Day-flying moth with forewing spots resembling owls eyes. Larvae feed inside broom plants.
Coyote Brush Stem Gall Moth,Insecta (Insects),Lepidoptera (Butterflies and Moths),Gelechiidae (Twirler Moths),Gnorimoschema,baccharisella,Head-capsule and body of larva protrude from round galls on coyote brush stems. Adult is small brown moth.
Pacific Velvet Ant,Insecta (Insects),"Hymenoptera (Ants, Bees, Wasps, and Sawflies)",Mutillidae (Velvet Ants),Dasymutilla,aureola,Fuzzy red wasp mimic that is actually a wingless female mutillid wasp. Stings are painful but not dangerous.
Varied Carpet Beetle,Insecta (Insects),Coleoptera (Beetles),Dermestidae (Skin Beetles),Anthrenus,verbasci,Small rounded beetle with scales on wings ranging from white to orange. Larvae feed on fabrics
Western Lynx Spider,Arachnida (Arachnids),Araneae (Spiders),Oxyopidae (Lynx Spiders),Oxyopes,scalaris,"There are six larger eyes arranged in a hexagon and two much smaller eyes in the rear, making this appear to be a six-eyed spider. The eye region is dark brown to black. The face is almost vertical."
